Flow IAT Mean,Label
4.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
3.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
60.900000000000006,BENIGN
73.25000000000001,BENIGN
82.85714285714286,BENIGN
52.400000000000006,BENIGN
6.0,BENIGN
79.92857142857142,BENIGN
735.1200000000001,BENIGN
82.2,BENIGN
73.0,BENIGN
100.9,BENIGN
61.6,BENIGN
5.0,BENIGN
78.83333333333333,BENIGN
66.21428571428571,BENIGN
69.49999999999999,BENIGN
95.3,BENIGN
56.92307692307692,BENIGN
3349.260869565217,BENIGN
46.0,BENIGN
74.13333333333334,BENIGN
65.5,BENIGN
6773.833333333333,BENIGN
4.0,BENIGN
775324.9705882352,BENIGN
26.0,BENIGN
76.21428571428572,BENIGN
153.7391304347826,BENIGN
21636.125000000004,BENIGN
23.0,BENIGN
315005.8333333334,BENIGN
55.0,BENIGN
35.69230769230769,BENIGN
1.0,BENIGN
83.92857142857144,BENIGN
2662.620689655173,BENIGN
75.21428571428572,BENIGN
33.53846153846154,BENIGN
1.0,BENIGN
83.71428571428572,BENIGN
1657683.7352941176,BENIGN
73.0,BENIGN
36.57142857142857,BENIGN
73.33333333333333,BENIGN
542.9310344827588,BENIGN
81.07142857142856,BENIGN
32.69230769230769,BENIGN
1.0,BENIGN
74.80000000000001,BENIGN
44.642857142857146,BENIGN
82.50000000000001,BENIGN
32.64285714285714,BENIGN
83.92857142857143,BENIGN
3403.8749999999995,BENIGN
3849.25,BENIGN
8645.39393939394,BENIGN
917029.2916666666,BENIGN
71.0,BENIGN
2185288.777777778,BENIGN
82.21428571428571,BENIGN
28.538461538461547,BENIGN
1.0,BENIGN
81.78571428571429,BENIGN
3173.9687499999995,BENIGN
1.0,BENIGN
520518.0347826088,BENIGN
1.3333333333333333,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
4.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
3.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
3.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
4.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
4.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
1.0,BENIGN
